,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1,226,19,40,52,79,58,82,64,235,85,82,64
1,2,58,38,18,22,22,58,70,14,130,90,126,90
2,3,15,15,15,15,15,15,15,15,15,15,19,19
3,4,54,58,224,204,86,190,108,94,310,224,140,208
4,5,244,127,130,232,169,154,58,130,166,271,337,184
5,6,27,3,3,3,3,6,3,3,42,3,3,21
6,7,573,1029,521,1485,933,673,1193,801,717,1125,1401,1321
7,8,864,1276,828,1144,1308,692,1044,1128,1564,1656,672,2692
8,234,79,107,82,140,109,81,90,87,122,83,73,89
9,9,381,729,199,519,291,295,329,219,369,399,263,375
10,10,10,10,10,10,10,10,10,10,10,48,186,274
11,13,1234,522,938,1810,2674,1078,1634,650,2626,2450,2282,1938
12,17,282,66,242,66,690,330,858,250,754,850,386,722
13,327,4,4,4,4,4,4,4,4,4,4,4,4
14,19,5,5,5,5,5,5,5,5,5,5,5,5
15,351,8,8,8,8,8,8,8,8,8,8,8,8
16,20,11,11,11,11,11,11,11,11,11,11,11,11
17,353,6,6,6,6,6,6,6,6,6,6,6,6
18,21,1,1,1,1,1,1,1,1,1,1,1,1
19,22,8,8,8,8,8,8,8,8,8,8,8,8
20,23,14,14,14,14,14,14,14,14,14,14,14,14
21,24,3,3,3,3,3,3,3,3,3,3,3,3
22,25,3,3,3,3,3,3,3,3,3,3,237,143
23,26,9,9,9,9,9,9,9,9,9,9,9,9
24,27,14,14,14,14,14,14,14,14,14,14,14,14
25,28,1,1,1,1,1,1,1,1,1,1,1,1
26,29,15,15,15,15,15,15,15,15,15,15,15,15
27,30,3,3,3,3,3,3,585,429,543,714,654,561
28,31,224,453,158,245,241,249,195,185,314,232,186,181
29,32,1063,1702,970,880,928,961,691,808,898,937,769,709
30,33,6,6,6,6,6,6,6,6,6,6,6,6
31,237,274,400,282,260,326,288,378,252,308,492,550,380
32,34,222,66,414,346,378,294,538,274,438,386,394,462
33,239,12,12,12,12,12,12,12,12,12,12,12,30
34,240,13,13,41,23,34,13,17,13,13,31,15,73
35,354,54,36,44,34,77,34,89,98,18,106,30,44
36,35,17,17,17,17,17,17,17,17,17,17,17,17
37,36,9,9,9,9,9,9,9,9,9,9,9,9
38,37,659,875,623,595,427,503,547,363,739,771,539,627
39,39,467,793,369,461,657,409,399,393,619,729,597,617
40,40,823,379,1475,1175,1019,1075,811,1143,1291,1523,1647,1371
41,41,8,8,8,8,8,8,8,8,8,8,8,8
42,243,286,187,139,199,235,217,241,205,271,277,193,295
43,42,17,17,17,17,17,17,17,17,17,17,17,17
44,43,1,1,1,1,1,1,1,1,1,1,1,1
45,44,20,20,20,20,20,20,20,20,20,20,20,20
46,45,1,1,1,1,1,1,1,1,1,1,1,1
47,46,57,73,81,49,73,49,113,17,97,17,57,33
48,47,776,1154,965,827,800,842,842,674,1250,1310,944,998
49,50,158,82,110,82,110,82,70,66,138,158,122,106
50,51,970,846,590,864,654,796,618,454,866,1002,972,870
51,53,289,373,201,245,345,229,161,197,413,365,285,301
52,54,1,1,1,1,1,1,1,1,1,1,1,1
53,55,19,19,19,19,19,19,19,19,19,19,19,19
54,56,2,2,2,2,2,2,2,2,2,2,2,2
55,57,6,6,6,6,6,6,6,6,6,6,6,6
56,58,10,10,10,10,10,10,10,10,10,10,10,10
57,59,5,5,5,5,5,5,5,5,5,5,5,5
58,60,2,2,2,2,2,2,2,2,2,2,2,62
59,61,20,20,20,20,20,20,20,104,7824,3544,6336,2240
60,62,6,6,6,6,6,6,6,6,6,6,6,6
61,63,15,15,15,15,15,15,15,15,15,15,15,15
62,416,129,65,305,143,293,133,167,153,245,151,99,111
63,64,89,173,92,107,143,101,146,131,128,191,32,206
64,65,59,38,17,104,35,17,86,38,71,71,68,17
65,66,16,16,16,16,16,16,16,16,16,16,16,16
66,67,7,7,7,7,7,7,7,7,7,7,7,7
67,244,12,12,12,12,12,12,12,12,12,12,12,12
68,69,193,211,193,115,403,217,127,259,250,277,271,223
69,70,41,73,57,73,165,25,55,141,109,125,105,135
70,71,51,69,53,51,39,31,48,23,51,47,51,31
71,72,67,127,75,73,111,97,81,91,65,129,121,105
72,73,12,12,12,12,12,12,12,12,12,12,12,12
73,74,12,12,12,12,12,12,12,12,12,12,12,12
74,245,19,19,19,19,19,19,19,19,19,37,181,325
75,246,16,16,16,16,16,16,16,16,16,44,145,65
76,76,7,7,7,7,7,7,7,7,7,7,7,7
77,77,6,6,6,6,42,20,12,6,18,28,38,68
78,78,75,109,71,71,103,40,110,65,83,87,107,65
79,79,23,79,59,59,79,27,33,43,55,15,35,25
80,248,164,180,284,212,268,172,240,196,284,196,260,164
81,404,150,501,165,282,318,159,207,393,357,459,291,339
82,417,83,94,88,54,124,70,82,76,140,112,110,84
83,80,781,1331,809,1011,983,705,885,1075,1337,1595,1357,1237
84,81,587,835,419,843,963,611,787,1203,923,627,1627,427
85,82,175,293,201,217,169,137,175,181,193,245,181,93
